[16-Oct-2024 10:54:09 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[16-Oct-2024 10:54:09 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[16-Oct-2024 10:54:09 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[22-Oct-2024 12:29:56 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[22-Oct-2024 12:29:56 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[22-Oct-2024 12:29:56 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[24-Oct-2024 02:10:55 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[24-Oct-2024 02:10:55 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[24-Oct-2024 02:10:55 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Oct-2024 02:58:50 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Oct-2024 02:58:50 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Oct-2024 02:58:50 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[30-Oct-2024 06:19:40 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[30-Oct-2024 06:19:40 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[30-Oct-2024 06:19:40 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[11-Nov-2024 09:10:08 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
